,MASTER_STYLE,STYLE_NAME,UNIQUE_SKU
5681,"IN POWER MR SHORT 8""",IN POWER MR SHORT,16.0
5682,ALL LOVE TEE,ALL LOVE TEE,12.0
5683,ON THE BEAM QUEEN BODYSUIT,ON THE BEAM QUEEN BODYSUIT,12.0
5684,ENDLESS AMBITION SHORT,ENDLESS AMBITION SHORT,32.0
5685,EASE OF IT ALL V-NECK JUMPSUIT,EASE OF IT ALL V-NECK JUMPSUIT,24.0
5686,LICENSE TO TRAIN SS - PRINTED,LICENSE TO TRAIN SHORT SLEEVE - PRINTED,11.0
5687,COURT CRUSH TANK,COURT CRUSH TANK,12.0
5688,CLEAR INTENTION JACKET,CLEAR INTENTION JACKET,32.0
5689,CITY SWEAT PANT SLIM,CITY SWEAT PANT SLIM,6.0
5690,COLD TERRAIN RUN NECK WARMER,COLD TERRAIN RUN NECKWARMER,1.0
5691,WILD WISH TANK,WILD WISH TANK,12.0
5692,LIVIN' & FREESTYLIN' TANK,LIVIN' & FREESTYLIN' TANK,12.0
5693,COMMISSION LS SHIRT,COMMISSION LS SHIRT UPDTED - SOLID,6.0
5694,SP21 LOVE V NECK NEW ,LOVE V NECK NEW SU21 HTR TDV,22.0
5695,RUN: SWIFTLY TECH LS CREW,SWIFTLY TECH LS CREW WILDFLOWER,7.0
5696,REVEAL MOCK NECK TANK,REVEAL MOCK NECK TANK AURORA,12.0
5697,MOMENTS LIKE THESE TANK,MOMENTS LIKE THESE TANK,14.0
5698,SWIFTLY RELAXED SS,SWIFTLY RELAXED SS COSMIC SHIFT,6.0
5699,OTC WINDBREAKER/ANORAK,OTC WINDBREAKER SHACKET,24.0
5700,EVERYWHERE BELT BAG,EVERYWHERE BELT BAG - SOLID MINI RIPSTOP CRINKLE NYLON,1.0
5701,RIVAL SIDE BOMBER,RIVAL SIDE BOMBER,6.0
5702,CITY SOCK SILVER,CITY SOCK SILVER,11.0
5703,WOOL BE COZY SNOOD,WOOL BE COZY SNOOD,3.0
5704,PACE BREAKER SHORT 9 -LL,PACE BREAKER 9 LINERLESS - DIGITAL,16.0
5705,INTO SOMETHING GOOD PANT,INTO SOMETHING GOOD PANT,16.0
5706,DOWN TO THE WIRE LS SHIRT,DOWN TO THE WIRE LS SHIRT -TECH- NEW BLOCK,12.0
5707,THE FUNDAMENTAL TOTE,THE FUNDAMENTAL TOTE,7.0
5708,THE REVERSIBLE MAT 5MM,THE REVERSIBLE MAT 5MM TT,2.0
5709,ABC JOGGER-HEATHERED WARPSTREME,ABC JOGGER-HEATHERED WARPSTREME A,6.0
5710,SHORT STOP BRA,SHORT STOP BRA,12.0
5711,WASHING WAVES HW SKIMPY BOTTOM,WATERSIDE HW SKIMPY BTM SEERSUCKER STRIPE,10.0
5712,TIDAL FLOW FULL BOTTOM II,TIDAL FLOW FULL BOTTOM II,20.0
5713,WORKOUT TO WATER TOP,WORKOUT TO WATER TOP,13.0
5714,BOOTCAMP READY BRA,BOOTCAMP READY BRA,12.0
5715,ALL YOURS MOCK NECK,ALL YOURS MOCK NECK,18.0
5716,SLUSH HOUR JACKET,SLUSH HOUR JACKET,6.0
5717,WUNDER UNDER CROP HR 21IN,WUNDER UNDER CROP HR - FULLUX SNOW WASHED - ES,8.0
5718,PACE RIVAL SKIRT REG,PACE RIVAL SKIRT REG,12.0
5719,TEXTURED TECH BOMBER,TEXTURED TECH BOMBER - HEATHER,6.0
5720,SCUBA SHERPA HOODIE *LONG,SCUBA SHERPA HOODIE *LONG,17.0
5721,POWER STRIDE SHORT 2.5 INCHES,POWER STRIDE SHORT 2.5 INCHES,16.0
5722,SURGE SHORT 6 LINED SE,SURGE SHORT 6 LINED SE,12.0
5723,CHASING MILES SS,CHASING MILES SS,18.0
5724,ICONIC SWEAT BRA,ICONIC SWEAT BRA,13.0
5725,IN DEPTH JACKET EMBOSS,IN DEPTH JACKET EMBOSS,16.0
5726,ACUTE TOTE,ACUTE TOTE LARGE,5.0
5727,CUT BACK CROP TANK MAINLINE,CUT BACK CROP TANK WHT SW20 SUNSET FESTIVAL,8.0
5728,TRACE BACK BOMBER,TRACE BACK BOMBER,12.0
5729,FAST AND FREE VEST,FAST AND FREE VEST,6.0
5730,EASE OF IT ALL TANK,EASE OF IT ALL TANK,16.0
5731,CRISS-CROSS THE LINE CROP,CRISS-CROSS THE LINE CROP,12.0
5732,ATHLETE ARRIVAL BRA,ATHLETE ARRIVAL BRA,12.0
5733,WUNDER UNDER CROP HR 23 INSEAM,WUNDER UNDER CROP HR 23 INSEAM - SHINE,8.0
5734,FUN RAYS HAT,FUN RAYS HAT,8.0
5735,DOUBLE TIME TANK,DOUBLE TIME TANK,18.0
5736,CLOCK OUT SS,CLOCK OUT SS,10.0
5737,SPEED LIGHT TIGHT 7/8,SPEED LIGHT TIGHT 7/8,24.0
5738,ALL FOR RUN HAT,ALL FOR RUN HAT,4.0
5739,SWIFT SPEED HR CROP 23 INCH,SWIFT SPEED HR CROP 23 INCH FE,24.0
5740,ALIGN CROP 21 INCHES,ALIGN HR CROP 21 IN,9.0
5741,RIPPLED V NECK PULLOVER,RIPPLED V NECK PULLOVER,40.0
5742,FA20 SWEATER OD 1,KEEP IT COZY DRESS HEATHERED,8.0
5743,NOW AND ALWAYS BELT BAG,NOW AND ALWAYS BELT BAG,3.0
5744,ON MY LEVEL DUFFEL *SMALL,ON MY LEVEL DUFFEL *SMALL,7.0
5745,ANOTHER LAP HALF ZIP,ANOTHER LAP HALF ZIP,24.0
5746,WUNDER UNDER HI-RISE TIGHT,WUNDER UNDER HR TIGHT- NULUX - DNU AFTER WI18,18.0
5747,LTT BOXER,LTT BOXER - HTR,16.0
5748,RISING TIDES BOTTOM,RISING TIDES BOTTOM LIFT,24.0
5749,CHASE ME SS,CHASE ME SS,18.0
5750,PACE RIVAL SKIRT TALL,PACE RIVAL SKIRT TALL ES SK - NO PANELS,19.0
5751,WUNDER TRAIN TIGHT 25 INS,GD FA20 WUNDER TRAIN TIGHT 25 INS - FOREST SHIBORI EVERLUX,8.0
5752,TWILL CHILL LS,TWILL CHILL LS,10.0
5753,LTT BOXER 3 PACK,LTT BOXER 3 PACK - UPDATE,6.0
5754,EARLY UP SS HOODIE,EARLY UP SHORT SLEEVE - BARRYS,12.0
5755,THROW & GO TOTE,THROW & GO TOTE,2.0
5756,WUNDER TRAIN HEADBAND,WUNDER TRAIN HEADBAND,5.0
5757,RACE WITH ME ONE PIECE,RACE WITH ME ONE PIECE,14.0
5758,FA21 ALIGN RUCHED WAIST HR CROP 22IN,FA21 ALIGN RUCHED WAIST HR CROP 22IN,16.0
5759,WUNDER UNDER HI RISE HALF TIGHT,WUNDER UNDER HI-RISE HALF TIGHT,8.0
5760,SWIFTLY BREATHE SS,SWIFTLY BREATHE SS SQUAD STRIPE DOUBLE DYE (TR),5.0
5761,ALIGN SHORT 4 INCHES,ALIGN SHORT 4 INCHES EMBOSS - DO NOT USE AFTER FA21,22.0
5762,SU18 NEW RACE DAY 78TH TIGHT,ON PACE TIGHT 78 DO NOT USE AFTER SP19,6.0
5763,ALL TERRAIN LS,ALL TERRAIN LS,10.0
5764,WUNDER SHORT - 2 INCHES,WUNDER SHORT - 2 INCHES - FULLUX,26.0
5765,FIT PHYSIQUE PANT,FIT PHYSIQUE PANT,18.0
5766,REFINED JACKET,REFINED JACKET,13.0
5767,ALL YOURS MOCK NECK CROP TANK,ALL YOURS MOCK NECK CROP TANK,16.0
5768,REVEAL 7/8 TIGHT,REVEAL 7/8 TIGHT VELOCITY,6.0
5769,CITY SWEAT FZ HOODIE-JACQUARD,CITY SWEAT FULL ZIP HOODIE-JACQUARD,12.0
5770,RUN ANKLE SOCK MACROPILLOW WOMENS,W_MACROPILLOW ANKLE RUN SOCK,15.0
5771,WUNDER UNDER HR CROP RIB,WUNDER UNDER HR CROP RIB,8.0
5772,SCUBA JOGGER,SCUBA JOGGER - LT FRENCH TERRY,54.0
5773,ZONED IN HR 2 IN 1 SHORT,ZONED IN HR 2 IN 1 SHORT,6.0
5774,FAST AND FREE SINGLET - BREATHE,FAST AND FREE SINGLET - BREATHE,24.0
5775,HIT IT JACKET,HIT IT JACKET,18.0
5776,ALL AVENUES TOTE,ALL AVENUES TOTE,2.0
5777,DOWN TO THE WIRE LS SHIRT,DOWN TO THE WIRE LS SHIRT - PINSTRIPE - NEW BLOCK,12.0
5778,INTENT CREW SOCK 3 PACK *NO SILVER,INTENT CREW SOCK *3 PACK,2.0
5779,T.H.E. CREW SOCK *2 PACK,T.H.E. CREW SOCK *NO SILVER 2PK,2.0
5780,VITALITY BRA,VITALITY SPORTS BRA,46.0
5781,ALL AFTERNOON CARDIGAN,ALL AFTERNOON CARDIGAN,11.0
5782,MESH WITH GRACE LEOTARD,MESH WITH GRACE LEOTARD,6.0
5783,SCUBA HOODIE,SCUBA HOODIE IV TERRY,38.0
5784,SHORELINE ONE PIECE,SHORELINE ONE PIECE,30.0
5785,LONG WEEKEND WRAP,LONG WEEKEND WRAP,3.0
5786,RISE SHINE REPEAT SS TEE,RISE SHINE REPEAT SS TEE HEATHER WET PRINT,18.0
5787,NEW FORM CROP,NEW FORM CROP,12.0
5788,5 YEAR BASIC LS,5 YEAR BASIC LS - DYNAMIC STRIPS,6.0
5789,CADENCE CRUSHER BRA,CADENCE CRUSHER BRA,12.0
5790,CITY SLATE SS BUTTONDOWN,CITY SLATE SS BUTTONDOWN,15.0
5791,COMMISSION PANT RELAXED 34 - WARP,COMMISSION PANT RELAXED 34-WARP REVISED,45.0
5792,ALIGN PANT SUPER HI RISE,ALIGN PANT SUPER HI RISE - ES - DNU AFTER SP20,24.0
5793,ALIGN CROP 21 INCHES SHR,ALIGN CROP 21 INCHES SHR BR - FE,19.0
5794,SIMPLY THERE CHEEKY BIKINI *3 PACK,SIMPLY THERE CHEEKY BIKINI *3 PACK,10.0
5795,UNDERSEA MERMAID BIKINI BOTTOM,UNDERSEA MERMAID BIKINI BOTTOM,10.0
5796,MAINSTAY DUFFLE,MAINSTAY DUFFLE,2.0
5797,BREEZE BY MUSCLE TANK,BREEZE BY MUSCLE TANK *STRIPE DOUBLE DYE,6.0
5798,FLOW RIDER TOP,FLOW RIDER TOP,10.0
5799,HOT PURSUIT HR CROP,HOT PURSUIT HR CROP,19.0
5800,LA ALL YOURS SCOOP-FRONT TEE,LA ALL YOURS SCOOP-FRONT TEE,16.0
5801,YOU HOLD THE KEYCHAIN 2.0,YOU HOLD THE KEYCHAIN 2.0,6.0
5802,TIED TO TIDE SWIM TOP,TIED TO TIDE SWIM TOP,25.0
5803,TECH LUX PULLOVER,TECH LUX PULLOVER,12.0
5804,ALIGN HR SHORT 6 INCH POCKETS,ALIGN HR SHORT 6 INCH POCKETS - BLK DIGI,8.0
5805,BALLER HAT,BALLER HAT *FLOCKED,2.0
5806,SNEAKY NO SHOW SOCK,SNEAKY NO SHOW SOCK 2 PACK,6.0
5807,ALL THAT GLIMMERS TOP,ALL THAT GLIMMERS TOP,10.0
5808,ALIGNED ANGLES LONG SLEEVE,ALIGNED ANGLES LONG SLEEVE DNU AFTER WI20,16.0
5809,FAST AND FREE SHORT SLEEVE,FAST AND FREE SHORT SLEEVE - DRY TOUCH HEATHER,6.0
5810,LOVE CREW SU21,LOVE CREW NEW SU21 SYNCHRONISE STRIPE,22.0
5811,TWIST UP EAR WARMER,TWIST UP EAR WARMER LIGHT,2.0
5812,ALIGN SHORT 10INCH SHR,ALIGN SHORT 10INCH SHR - BLK WET EC USE SU21 ONWARD EC,11.0
5813,INVIGORATE HR SHORT 10IN,INVIGORATE HR SHORT 10IN - PRINT,27.0
5814,CHASE THE PACE 78 TIGHT,CHASE THE PACE 78 TIGHT,13.0
5815,ENERGY BRA HIGH NECK LONGLINE,ENERGY BRA HIGH NECK LL *RIB,6.0
5816,WUNDER UNDER HI-RISE TIGHT,"WUNDER UNDER PANT HI-RISE 28""- OOHLA-LACE PRINT",6.0
5817,WOOL BE COZY SCARF SE FOIL,ALL THAT SHIMMERS SCARF - FOIL,1.0
5818,SERENE HEART ROMPER,SERENE HEART ROMPER,24.0
5819,OUT RUN TANK,OUT RUN TANK,24.0
5820,RUNTACULAR TANK,RUNTACULAR TANK,12.0
5821,TOTAL ELLIPSE SWEATER,TOTAL ELLIPSE SWEATER,6.0
5822,ALIGN CROP 23 INCHES,ALIGN CROP 23 INCHES ES EC - NULU HEATHER,11.0
5823,COMPOSITE HYBRID JACKET,COMPOSITE HYBRID JACKET,6.0
5824,IN A RHYTHM SHORT,IN A RHYTHM SHORT,12.0
5825,TOP KNOT LEOTARD,TOP KNOT LEOTARD,12.0
5826,OUTPOUR STRETCH ,OUTPOUR JACKET,18.0
5827,BACK IN ACTION LONG SLEEVE,BACK IN ACTION LS VEIL,24.0
5828,EXTRA MILE VEST,EXTRA MILE VEST ES,13.0
5829,REVEAL 1/2 ZIP,REVEAL 1/2 ZIP AURORA,12.0
5830,REVEAL CROP TANK,REVEAL CROP TANK VELOCITY,6.0
5831,FT LOVE RACERBACK,LOVE RACERBACK,24.0
5832,RESTFUL INTENTION SWEATER WRAP,RESTFUL INTENTION SWEATER WRAP,21.0
5833,FRINGE FIGHTER HEADBAND III,NEW FRINGE FIGHTER HEADBAND RULU,1.0
5834,WINTER WARRIOR 3-IN-1 PARKA,WINTER WARRIOR 3-IN-1 PARKA,16.0
5835,5 YEAR BASIC T,5 YEAR BASIC TEE IWD 18,10.0
5836,HOLIDAY 19 KIT ALOE LOTUS,HOLIDAY KIT ALOE LOTUS,1.0
5837,WUNDER UNDER CROP,WUNDER UNDER CROP,137.0
5838,HOTTY HOT HR SHORT 4 INCH SEER,HOTTY HOT HR SHORT 4 INCH SEER,16.0
5839,LOST IN THE HUSTLE JOGGER ,LOST IN THE HUSTLE JOGGER ,12.0
5840,5 YEAR BASIC T,5 YEAR BASIC T-TAKE OFF STRIP ,11.0
5841,RAIN ON GAME ON JACKET,RAIN ON GAME ON JACKET,21.0
5842,SNUGGLE UP JACKET,SNUGGLE UP JACKET,12.0
5843,MESH ON MESH TANK,MESH ON MESH TANK,12.0
5844,MINDFUL MAGIC DUFFEL,MINDFUL MAGIC DUFFEL,5.0
5845,TUCK AND FLOW LS,TUCK AND FLOW LONG SLEEVE,21.0
5846,FIND FOCUS SHORT SLEEVE,FIND FOCUS SHORT SLEEVE ,6.0
5847,KNOT STOPPING TEE,KNOT STOPPING TEE,12.0
5848,WEAR EVER YOU GO BAG,WEAR EVER YOU GO BAG,7.0
5849,THE FUNDAMENTAL TOTE,THE FUNDAMENTAL TOTE * LARGE,6.0
5850,RUN: SWIFTLY TECH HOODED 1/2 ZIP,SWIFTLY TECH HOODED 1/2 ZIP FRESH NEP NYLON DYE,12.0
5851,ENERGY BRA HIGH NECK LL LNY,ENERGY BRA HIGH NECK LL LNY,6.0
5852,SUNS OUT BIKINI II,SUNS OUT BIKINI II,25.0
5853,SP21 CROP SLOT 39,SP21 EVERLUX AND MESH HR CROP 23IN,16.0
5854,EVERYWHERE BELT BAG,EVERYWHERE BELT BAG - COLOR BLOCK 5,1.0
5855,FT PAVEMENT PUSHER BRA,PAVEMENT PUSHER BRA,6.0
5856,CHOOSE A SIDE SHR SHORT 4 INCH,CHOOSE A SIDE SHR SHORT 4 INCH,24.0
5857,DRIFTING TIDES SKIMPY BOTTOM,SEERSUCKER SKIMPY MR BTM,15.0
5858,METAL VENT TECH POLO,METAL VENT TECH POLO GEO CAMO,6.0
5859,SWIFTLY TECH RACERBACK 2.0,SWIFTLY TECH RACERBACK 2.0 LOVE,7.0
5860,ALL LOVE CREW,ALL LOVE CREW STRIPED MESH,18.0
5861,EVERYWHERE BELT BAG,EVERYWHERE BELT BAG SOLID MINI RIPSTOP LW SU NYLON,1.0
5862,TIGHT STUFF 7/8 TIGHT II,TIGHT STUFF TIGHT II EC,6.0
5863,SPEED UP SHORT REG,SPEED UP SHORT REG SW,36.0
5864,BREEZE BY SS,BREEZE BY SS *STRIPE DOUBLE DYE,5.0
5865,WUNDER UNDER HR TIGHT 28 RAY (FOIL),WUNDER UNDER HR TIGHT 28 RAY,8.0
5866,SW SEASONAL RUN TANK,RUN OUT TANK,6.0
5867,CHILL TIME INSULATED H2O BOTTLE,CHILL TIME INSULATED BOTTLE,2.0
5868,FT RISE AND RUN BRA,RISE AND RUN BRA,6.0
5869,PACK IT DOWN VEST,PACK IT DOWN VEST,12.0
5870,RELAXED FIT STRETCH PANT 29L,RELAXED FIT STRETCH PANT 29L,12.0
5871,NOT YOUR EVERYDAY CREW SOCK,NOT YOUR EVERYDAY CREW SOCK,5.0
5872,COLOUR ME OMBRE SHORT,COLOUR ME OMBRE SHORT ,12.0
5873,HOT SPELL BRA,HOT SPELL BRA,30.0
5874,HONEYCOMB DIP SQUARE TOP AB,HONEYCOMB DIP SQUARE TOP AB,16.0
5875,CROSS CHALLENGER SHORT 9,CROSS CHALLENGER SHORT 9,10.0
5876,REVEAL ONESIE,REVEAL ONESIE DIGITAL RAIN,13.0
5877,TIED TO TIDE SWIM BOTTOM,TIED TO TIDE SWIM BOTTOM,18.0
5878,MESH IN MOTION CROP,MESH IN MOTION CROP WHITE,6.0
5879,PACE RIVAL SKIRT REG,PACE RIVAL SKIRT REG ES SK - NO PANELS,8.0
5880,FEMME FORCE SHR SHORT 8 INCH,FEMME FORCE SHR SHORT 8 INCH,16.0
5881,YOGA KIT 3MM,YOGA KIT 3MM,5.0
5882,FOR THE CHILL OF IT TANK,FOR THE CHILL OF IT CROP TANK DOUBLE DYE,12.0
5883,FT INVIGORATE BRA,INVIGORATE BRA,12.0
5884,ALIGN HR CROP 23 INCH SCALLOP,ALIGN HR CROP 23IN SCALLOP,32.0
5885,MOVING MEDITATION JACKET,MOVING MEDITATION JACKET,18.0
5886,WUNDER UNDER HR CROP RIB,WUNDER UNDER HR CROP RIB SNOWWASH,8.0
5887,SP21 LOVE TANK NEW,LOVE TANK NEW REVITALIZED SPLATTER TDV,11.0
5888,SPIRITED SISSONE PANT,SPIRITED SISSONE PANT,12.0
5889,TRAIN TO BEACH HR SHORT 10 INCH,TRAIN TO BEACH HR SHORT 10 INCH,20.0
5890,BACK TO ME TEE,BACK TO ME TEE,18.0
5891,ENDLESS AMBITION PANT,ENDLESS AMBITION PANT QUILT,27.0
5892,LOOP BACK SHORT,LOOP BACK SHORT,7.0
5893,POWER STRIDE TAB SOCK WOMENS,W_POWER STRIDE TAB SOCK_XSTATIC,12.0
5894,5 YEAR BASIC LS,5 YEAR BASIC LS - MINERAL WASH,6.0
5895,ENGINEERED WARMTH HOODIE,ENGINEERED WARMTH HOODIE,23.0
5896,MINIMAL SHORT,MINIMAL SHORT,8.0
5897,EXPLICIT CONTENT SS,EXPLICIT CONTENT SS REFLECTIVE,17.0
5898,BREATHE-A-WOOL LS,BREATHE-A-WOOL LS,18.0
5899,FAST AND FREE HR SHORT 6 INCH ELITE,FAST AND FREE HR SHORT 6 INCH ELITE,16.0
5900,ITS A TIE TANK,ITS A TIE TANK SPLATTER,6.0
5901,STAND STEADY CREW SWEATER,STAND STEADY CREW SWEATER,20.0
5902,REST LESS PULLOVER,REST LESS PULLOVER BEJEWEL DOUBLE DYE,6.0
5903,DYEL UP TEE,DYEL UP TEE,18.0
5904,FAST AND FREE SS ELITE,FAST AND FREE SS ELITE,12.0
5905,FT BOOGIE SHORT,BOOGIE SHORT,5.0
5906,RAISED CITY LS,RAISED CITY LS,10.0
5907,IN THE KEY SHORT 8,IN THE KEY SHORT 8,11.0
5908,RAIN SHAKER TRENCH,RAIN SHAKER TRENCH,14.0
5909,WUNDER TRAIN SHORT 4 INS,DNU WUNDER TRAIN HR SHORT 4IN,8.0
5910,STOP DROP AND SQUAT TIGHT,STOP DROP AND SQUAT TIGHT,19.0
5911,STRONGER AS ONE HOODIE - BARRY,BARRYS STRONGER AS ONE HOODIE,16.0
5912,TRANQUIL SPIRIT JOGGER,TRANQUIL SPIRIT JOGGER,18.0
5913,CITY CALM SHORT SLEEVE SWEATER,CITY CALM SHORT SLEEVE SWEATER,17.0
5914,ASSERT BACKPACK 2.0,ASSERT BACKPACK 2.0,2.0
5915,CHILL DRILL PANT,CHILL DRILL PANT,12.0
5916,EVER EASY TEE,EVER EASY TEE FOIL AND WETPRINT,24.0
5917,CITY EXCURSION JACKET,CITY EXCURSION JACKET,18.0
5918,ON TRACK BRA,ON TRACK BRA,12.0
5919,FAST AND FLOW PANT,FAST AND FLOW PANT,18.0
5920,STAR GAZER SPACER,STAR GAZER SPACER,12.0
5921,ON THE GO SWEAT KIT,ON THE GO SWEAT KIT,1.0
5922,CARRY ON SS CREW,CARRY ON SS CREW,10.0
5923,SET YOUR MIND DRESS,SET YOUR MIND DRESS,24.0
5924,FLASH FORWARD HALF ZIP,FLASH FORWARD HALF ZIP,24.0
5925,STRETCH HIGH-RISE SHORT,STRETCH HIGH-RISE SHORT EC,16.0
5926,TRAIN TIMES CROP,TRAIN TIMES CROP WHITE - DO NOT USE AFTER WI18,6.0
5927,IN THE FLIP BODYSUIT,IN THE FLIP BODYSUIT II,24.0
5928,READY TO RUN TIGHT,READY TO RUN TIGHT PINPOINT,13.0
5929,TRANQUIL SPIRIT BRA,TRANQUIL SPIRIT BRA,12.0
5930,INVISIWEAR HIPSTER MR,INVISIWEAR HIPSTER MR SOLID,47.0
5931,LAYER FOR WARMTH EAR WARMER,LAYER FOR WARMTH EAR WARMER,4.0
5932,KNOT STOPPING TANK,KNOT STOPPING TANK,18.0
5933,NOIR SKIRT,NOIR SKIRT,16.0
5934,SERENE HEART DRESS,SERENE HEART DRESS,18.0
5935,POWER STRIDE ANKLE SOCK MENS,M_POWER STRIDE ANKLE SOCK_CAMO,3.0
5936,ESSENTIAL HR RUN SKIRT LONG,ESSENTIAL HR RUN SKIRT LONG,16.0
5937,MASONS PEAK FLANNEL ,MASONS PEAK FLANNEL - SHADE PLAID REFLECTIVE,6.0
5938,SET TO GO HOODIE,SET TO GO HOODIE,12.0
5939,LIGHT AND BRIGHT TOQUE,LIGHT AND BRIGHT TOQUE,3.0
5940,SLEEK AND STRONG HAIR TIES,SLEEK AND STRONG HAIR TIES 6 PACK,1.0
5941,SWIFTLY TECH SS 2.0 RACE,SWIFTLY TECH SS 2.0 RACE RIPPLE WAVE,11.0
5942,DASH AND SPLASH VISOR,DASH AND SPLASH VISOR,3.0
5943,WUNDER UNDER HI-RISE TIGHT TALL,WUNDER UNDER HR TIGHT TALL ES YY,8.0
5944,CLEAR WATERS HW MED BOTTOM,CLEAR WATERS HW MED BOTTOM,18.0
5945,WUNDER UNDER LOW-RISE TIGHT,WUNDER UNDER LR TIGHT - FULLUX FE - DNU AFTER WI18,7.0
5946,HEART ON THE GREEN POLO,HEART ON THE GREEN POLO,23.0
5947,SIGNATURE SKATE GLOVE,SIGNATURE SKATE GLOVE,9.0
5948,RUN SWIFTLY ARM WARMER,RUN SWIFTLY ARM WARMERS,2.0
5949,SWIFTLY RELAXED SS,SWIFTLY RELAXED SS SHUTTLE,6.0
5950,WATERSIDE SWIM TOP D SS,WATERSIDE SWIM TOP D SS,29.0
5951,FAST AND FREE HR CROP - MESH,FAST AND FREE HR CROP - MESH,16.0
5952,WEEKEND ESCAPE DUFFEL,WEEKEND ESCAPE DUFFLE,2.0
5953,LA LONG SLEEVE,LA LONG SLEEVE,18.0
5954,RAYS TO WAVES RASHIE,RAYS TO WAVES RASHIE,12.0
5955,BIND AND CROSS BRA ,BIND AND CROSS BRA,14.0
5956,WASHING WAVES HW SKIMPY BOTTOM,WATERSIDE HW SKIMPY BTM SEERSUCKER,10.0
5957,WUNDER UNDER CROP III,WUNDER UNDER CROP III (DO NOT USE AFTER WI18),7.0
5958,AWAKENING TANK,AWAKENING TANK,18.0
5959,WADE THE WATERS LS ONE-PIECE,WADE THE WATERS LS ONE-PIECE,18.0
5960,CATES TEE *MESH,CATES TEE *MESH,18.0
5961,RUN: SWIFTLY TECH SS CREW,SWIFTLY TECH SS CREW DOUBLE DYE - 20TH,6.0
5962,DYNAMIC DAYS TANK,DYNAMIC DAYS TANK,6.0
5963,LICENSE TO TRAIN HOODIE LS,LICENSE TO TRAIN HOODIE LS,11.0
5964,ABC PANT SKINNY 34 L - UTILITECH,ABC PANT SKINNY 34 - UTILITECH,61.0
5965,LAB AXIOM LONG SLEEVE,ASHTA LS TEE - GARMENT DYE,44.0
5966,W ENGINEERED WARMTH PULLOVER,FA20 ENGINEERED WARMTH PULLOVER,24.0
5967,BACK TO TRACK SHORT,BACK TO TRACK SHORT,12.0
5968,LICENSE TO TRAIN SL,LICENSE TO TRAIN SL,10.0
5969,CITY ADVENTURER BACKPACK NANO,CITY ADVENTURER BACKPACK NANO COLOR BLOCK,2.0
5970,SWIFTLY TECH SS 2.0,SWIFTLY TECH SS 2.0 CITY CHICAGO,9.0
5971,T.H.E. SHORT 9 NULUX LINED,T.H.E. SHORT 9 NULUX LINED - SOLID,7.0
5972,SOFT SHINE SWEATER,SOFT SHINE SWEATER,18.0
5973,COASTLINE BOTTOM,COASTLINE BOTTOM,12.0
5974,PACE BREAKER SHORT 5 LL,PACE BREAKER SHORT 5 LINERLESS - DIGITAL PRINT SHINKONG,5.0
5975,WHAT THE HEART WANTS SWEATER,WHAT THE HEART WANTS SWEATER,15.0
5976,REBEL RUNNER CROP,REBEL RUNNER CROP,65.0
5977,FOUR'S A CHARM WRAP,FOUR'S A CHARM WRAP*KNIT,12.0
5978,MORNING MATCH SKIRT,MORNING MATCH SKIRT TALL,16.0
5979,PEAK POTENTIAL SLEEVELESS,PEAK POTENTIAL SLEEVELESS,12.0
5980,ALL YOURS TEE,ALL YOURS BOYFRIEND TEE CLOUD WASH DNU AFTER SU19,6.0
5981,TUMBLIN' TANK,TUMBLIN' TANK (USE IG1577S),6.0
5982,OUTRUN LS,OUTRUN LS,32.0
5983,SEEK VISTAS HALF ZIP JACKET,SEEK VISTAS HALF ZIP JACKET,9.0
5984,EBB TO TRAIN JACKET,EBB TO TRAIN JACKET ABSTRACT,11.0
5985,WUNDER UNDER HI-RISE 78 TIGHT,WUNDER UNDER HR 78 TIGHT ES FE - EARTH DAY,8.0
5986,METAL VENT TECH FULL ZIP,METAL VENT TECH FULL ZIP COLOURED BACK DOUBLE DYE SPANDEX,6.0
5987,WUNDER UNDER HI-RISE TIGHT,WUNDER UNDER HR TIGHT ES - CNY,7.0
5988,PACE RIVAL SKIRT TALL,PACE RIVAL SKIRT TALL IPLUX BUM - DNU AFTER WI18,6.0
5989,THE REST IS WRITTEN BELT BAG,THE REST IS WRITTEN BELT BAG *COLOUR BLOCK,2.0
5990,OPEN WARRIOR TANK,OPEN WARRIOR TANK,12.0
5991,POWER STRIDE CREW SOCK MENS,M_POWER STRIDE CREW SOCK_STRIPE,6.0
5992,ALIGN SHORT 6 INCHES,ALIGN SHORT 6 INCHES ES - USE SU21 ONWARD,8.0
5993,SURGE 1/2 ZIP DWR,SURGE 1/2 ZIP DWR,11.0
5994,SHIFT IN TIME JUMPSUIT,SHIFT IN TIME JUMPSUIT,12.0
5995,WUNDER UNDER HI-RISE TIGHT,WUNDER UNDER HI-RISE TIGHT - ENGINEERING PRINT- DO NOT USE AFTER,12.0
5996,ENDLESS AMBITION PANT,ENDLESS AMBITION PANT,44.0
5997,CONFLUX LONG SLEEVE,CONFLUX LONG SLEEVE,18.0
5998,STEADY AND FAST SHORT 7 LINED,STEADY AND FAST SHORT 7 LINED,12.0
5999,INVIGORATE HR CROP 23IN,GD FA20 INVIGORATE HR CROP 23 IN - FOREST SHIBORI EVERLUX,8.0
6000,EASE OF IT ALL JUMPSUIT,EASE OF IT ALL JUMPSUIT,6.0
6001,POWER Y BODYSUIT NULU,POWER Y BODYSUIT NULU,40.0
