Pokedex No.,Name,Type,Other Type,HP,Attack,Defense,Special Attack,Special Defense,Speed,Total,Generation,Legendary
718,Zygarde 50% Forme,Dragon,Ground,108,100,121,81,95,95,600,6,1
718,Zygarde 10% Forme,Dragon,Ground,54,100,71,61,85,115,486,6,1
718,Zygarde Complete Forme,Dragon,Ground,216,100,121,91,95,85,708,6,1
719,Diancie,Rock,Fairy,50,100,150,100,150,50,600,6,1
719,Mega Diancie,Rock,Fairy,50,160,110,160,110,110,700,6,1
720,Hoopa Confined,Psychic,Ghost,80,110,60,150,130,70,600,6,1
720,Hoopa Unbound,Psychic,Dark,80,160,60,170,130,80,680,6,1
721,Volcanion,Fire,Water,80,110,120,130,90,70,600,6,1
722,Rowlet,Grass,Flying,68,55,55,50,50,42,320,7,0
723,Dartrix,Grass,Flying,78,75,75,70,70,52,420,7,0
724,Decidueye,Grass,Ghost,78,107,75,100,100,70,530,7,0
725,Litten,Fire,,45,65,40,60,40,70,320,7,0
726,Torracat,Fire,,65,85,50,80,50,90,420,7,0
727,Incineroar,Fire,Dark,95,115,90,80,90,60,530,7,0
728,Popplio,Water,,50,54,54,66,56,40,320,7,0
729,Brionne,Water,,60,69,69,91,81,50,420,7,0
730,Primarina,Water,Fairy,80,74,74,126,116,60,530,7,0
731,Pikipek,Normal,Flying,35,75,30,30,30,65,265,7,0
732,Trumbeak,Normal,Flying,55,85,50,40,50,75,355,7,0
733,Toucannon,Normal,Flying,80,120,75,75,75,60,485,7,0
734,Yungoos,Normal,,48,70,30,30,30,45,253,7,0
735,Gumshoos,Normal,,88,110,60,55,60,45,418,7,0
736,Grubbin,Bug,,47,62,45,55,45,46,300,7,0
737,Charjabug,Bug,Electric,57,82,95,55,75,36,400,7,0
738,Vikavolt,Bug,Electric,77,70,90,145,75,43,500,7,0
739,Crabrawler,Fighting,,47,82,57,42,47,63,338,7,0
740,Crabominable,Fighting,Ice,97,132,77,62,67,43,478,7,0
741,Oricorio Baile Style,Fire,Flying,75,70,70,98,70,93,476,7,0
741,Oricorio Pom-Pom Style,Electric,Flying,75,70,70,98,70,93,476,7,0
741,Oricorio Pa'U Style,Psychic,Flying,75,70,70,98,70,93,476,7,0
741,Oricorio Sensu Style,Ghost,Flying,75,70,70,98,70,93,476,7,0
742,Cutiefly,Bug,Fairy,40,45,40,55,40,84,304,7,0
743,Ribombee,Bug,Fairy,60,55,60,95,70,124,464,7,0
744,Rockruff,Rock,,45,65,40,30,40,60,280,7,0
744,Own Tempo Rockruff,Rock,,45,65,40,30,40,60,280,7,0
745,Lycanroc Midday Form,Rock,,75,115,65,55,65,112,487,7,0
745,Lycanroc Midnight Form,Rock,,85,115,75,55,75,82,487,7,0
745,Lycanroc Dusk Form,Rock,,75,117,65,55,65,110,487,7,0
746,Wishiwashi Solo Form,Water,,45,20,20,25,25,40,175,7,0
746,Wishiwashi School Form,Water,,45,140,130,140,135,30,620,7,0
747,Mareanie,Poison,Water,50,53,62,43,52,45,305,7,0
748,Toxapex,Poison,Water,50,63,152,53,142,35,495,7,0
749,Mudbray,Ground,,70,100,70,45,55,45,385,7,0
750,Mudsdale,Ground,,100,125,100,55,85,35,500,7,0
751,Dewpider,Water,Bug,38,40,52,40,72,27,269,7,0
752,Araquanid,Water,Bug,68,70,92,50,132,42,454,7,0
753,Fomantis,Grass,,40,55,35,50,35,35,250,7,0
754,Lurantis,Grass,,70,105,90,80,90,45,480,7,0
755,Morelull,Grass,Fairy,40,35,55,65,75,15,285,7,0
756,Shiinotic,Grass,Fairy,60,45,80,90,100,30,405,7,0
757,Salandit,Poison,Fire,48,44,40,71,40,77,320,7,0
758,Salazzle,Poison,Fire,68,64,60,111,60,117,480,7,0
759,Stufful,Normal,Fighting,70,75,50,45,50,50,340,7,0
760,Bewear,Normal,Fighting,120,125,80,55,60,60,500,7,0
761,Bounsweet,Grass,,42,30,38,30,38,32,210,7,0
762,Steenee,Grass,,52,40,48,40,48,62,290,7,0
763,Tsareena,Grass,,72,120,98,50,98,72,510,7,0
764,Comfey,Fairy,,51,52,90,82,110,100,485,7,0
765,Oranguru,Normal,Psychic,90,60,80,90,110,60,490,7,0
766,Passimian,Fighting,,100,120,90,40,60,80,490,7,0
767,Wimpod,Bug,Water,25,35,40,20,30,80,230,7,0
768,Golisopod,Bug,Water,75,125,140,60,90,40,530,7,0
769,Sandygast,Ghost,Ground,55,55,80,70,45,15,320,7,0
770,Palossand,Ghost,Ground,85,75,110,100,75,35,480,7,0
771,Pyukumuku,Water,,55,60,130,30,130,5,410,7,0
772,Type: Null,Normal,,95,95,95,95,95,59,534,7,1
773,Silvally,Normal,,95,95,95,95,95,95,570,7,1
774,Minior Meteor Form,Rock,Flying,60,60,100,60,100,60,440,7,0
774,Minior Core Form,Rock,Flying,60,100,60,100,60,120,500,7,0
775,Komala,Normal,,65,115,65,75,95,65,480,7,0
776,Turtonator,Fire,Dragon,60,78,135,91,85,36,485,7,0
777,Togedemaru,Electric,Steel,65,98,63,40,73,96,435,7,0
778,Mimikyu,Ghost,Fairy,55,90,80,50,105,96,476,7,0
779,Bruxish,Water,Psychic,68,105,70,70,70,92,475,7,0
780,Drampa,Normal,Dragon,78,60,85,135,91,36,485,7,0
781,Dhelmise,Ghost,Grass,70,131,100,86,90,40,517,7,0
782,Jangmo-O,Dragon,,45,55,65,45,45,45,300,7,0
783,Hakamo-O,Dragon,Fighting,55,75,90,65,70,65,420,7,0
784,Kommo-O,Dragon,Fighting,75,110,125,100,105,85,600,7,0
785,Tapu Koko,Electric,Fairy,70,115,85,95,75,130,570,7,1
786,Tapu Lele,Psychic,Fairy,70,85,75,130,115,95,570,7,1
787,Tapu Bulu,Grass,Fairy,70,130,115,85,95,75,570,7,1
788,Tapu Fini,Water,Fairy,70,75,115,95,130,85,570,7,1
789,Cosmog,Psychic,,43,29,31,29,31,37,200,7,1
790,Cosmoem,Psychic,,43,29,131,29,131,37,400,7,1
791,Solgaleo,Psychic,Steel,137,137,107,113,89,97,680,7,1
792,Lunala,Psychic,Ghost,137,113,89,137,107,97,680,7,1
793,Nihilego,Rock,Poison,109,53,47,127,131,103,570,7,1
794,Buzzwole,Bug,Fighting,107,139,139,53,53,79,570,7,1
795,Pheromosa,Bug,Fighting,71,137,37,137,37,151,570,7,1
796,Xurkitree,Electric,,83,89,71,173,71,83,570,7,1
797,Celesteela,Steel,Flying,97,101,103,107,101,61,570,7,1
798,Kartana,Grass,Steel,59,181,131,59,31,109,570,7,1
799,Guzzlord,Dark,Dragon,223,101,53,97,53,43,570,7,1
800,Necrozma,Psychic,,97,107,101,127,89,79,600,7,1
800,Dusk Mane Necrozma,Psychic,Steel,97,157,127,113,109,77,680,7,1
800,Dawn Wings Necrozma,Psychic,Ghost,97,113,109,157,127,77,680,7,1
800,Ultra Necrozma,Psychic,Dragon,97,167,97,167,97,129,754,7,1
801,Magearna,Steel,Fairy,80,95,115,130,115,65,600,7,1
802,Marshadow,Fighting,Ghost,90,125,80,90,90,125,600,7,1
803,Poipole,Poison,,67,73,67,73,67,73,420,7,1
804,Naganadel,Poison,Dragon,73,73,73,127,73,121,540,7,1
805,Stakataka,Rock,Steel,61,131,211,53,101,13,570,7,1
806,Blacephalon,Fire,Ghost,53,127,53,151,79,107,570,7,1
807,Zeraora,Electric,,88,112,75,102,80,143,600,7,1
808,Meltan,Steel,,46,65,65,55,35,34,300,7,1
809,Melmetal,Steel,,135,143,143,80,65,34,600,7,1
810,Grookey,Grass,,50,65,50,40,40,65,310,8,0
811,Thwackey,Grass,,70,85,70,55,60,80,420,8,0
812,Rillaboom,Grass,,100,125,90,60,70,85,530,8,0
813,Scorbunny,Fire,,50,71,40,40,40,69,310,8,0
814,Raboot,Fire,,65,86,60,55,60,94,420,8,0
815,Cinderace,Fire,,80,116,75,65,75,119,530,8,0
816,Sobble,Water,,50,40,40,70,40,70,310,8,0
817,Drizzile,Water,,65,60,55,95,55,90,420,8,0
818,Inteleon,Water,,70,85,65,125,65,120,530,8,0
819,Skwovet,Normal,,70,55,55,35,35,25,275,8,0
820,Greedent,Normal,,120,95,95,55,75,20,460,8,0
821,Rookidee,Flying,,38,47,35,33,35,57,245,8,0
822,Corvisquire,Flying,,68,67,55,43,55,77,365,8,0
823,Corviknight,Flying,Steel,98,87,105,53,85,67,495,8,0
824,Blipbug,Bug,,25,20,20,25,45,45,180,8,0
825,Dottler,Bug,Psychic,50,35,80,50,90,30,335,8,0
826,Orbeetle,Bug,Psychic,60,45,110,80,120,90,505,8,0
827,Nickit,Dark,,40,28,28,47,52,50,245,8,0
828,Thievul,Dark,,70,58,58,87,92,90,455,8,0
829,Gossifleur,Grass,,40,40,60,40,60,10,250,8,0
830,Eldegoss,Grass,,60,50,90,80,120,60,460,8,0
831,Wooloo,Normal,,42,40,55,40,45,48,270,8,0
832,Dubwool,Normal,,72,80,100,60,90,88,490,8,0
833,Chewtle,Water,,50,64,50,38,38,44,284,8,0
834,Drednaw,Water,Rock,90,115,90,48,68,74,485,8,0
835,Yamper,Electric,,59,45,50,40,50,26,270,8,0
836,Boltund,Electric,,69,90,60,90,60,121,490,8,0
837,Rolycoly,Rock,,30,40,50,40,50,30,240,8,0
838,Carkol,Rock,Fire,80,60,90,60,70,50,410,8,0
839,Coalossal,Rock,Fire,110,80,120,80,90,30,510,8,0
840,Applin,Grass,Dragon,40,40,80,40,40,20,260,8,0
841,Flapple,Grass,Dragon,70,110,80,95,60,70,485,8,0
842,Appletun,Grass,Dragon,110,85,80,100,80,30,485,8,0
843,Silicobra,Ground,,52,57,75,35,50,46,315,8,0
844,Sandaconda,Ground,,72,107,125,65,70,71,510,8,0
845,Cramorant,Flying,Water,70,85,55,85,95,85,475,8,0
846,Arrokuda,Water,,41,63,40,40,30,66,280,8,0
847,Barraskewda,Water,,61,123,60,60,50,136,490,8,0
848,Toxel,Electric,Poison,40,38,35,54,35,40,242,8,0
849,Toxtricity Low Key Form,Electric,Poison,75,98,70,114,70,75,502,8,0
849,Toxtricity Amped Form,Electric,Poison,75,98,70,114,70,75,502,8,0
850,Sizzlipede,Fire,Bug,50,65,45,50,50,45,305,8,0
851,Centiskorch,Fire,Bug,100,115,65,90,90,65,525,8,0
852,Clobbopus,Fighting,,50,68,60,50,50,32,310,8,0
853,Grapploct,Fighting,,80,118,90,70,80,42,480,8,0
854,Sinistea,Ghost,,40,45,45,74,54,50,308,8,0
855,Polteageist,Ghost,,60,65,65,134,114,70,508,8,0
856,Hatenna,Psychic,,42,30,45,56,53,39,265,8,0
857,Hattrem,Psychic,,57,40,65,86,73,49,370,8,0
858,Hatterene,Psychic,Fairy,57,90,95,136,103,29,510,8,0
859,Impidimp,Dark,Fairy,45,45,30,55,40,50,265,8,0
860,Morgrem,Dark,Fairy,65,60,45,75,55,70,370,8,0
861,Grimmsnarl,Dark,Fairy,95,120,65,95,75,60,510,8,0
862,Obstagoon,Dark,Normal,93,90,101,60,81,95,520,8,0
863,Perrserker,Steel,,70,110,100,50,60,50,440,8,0
864,Cursola,Ghost,,60,95,50,145,130,30,510,8,0
865,Sirfetch'D,Fighting,,62,135,95,68,82,65,507,8,0
866,Mr. Rime,Psychic,Ice,80,85,75,110,100,70,520,8,0
867,Runerigus,Ground,Ghost,58,95,145,50,105,30,483,8,0
868,Milcery,Fairy,,45,40,40,50,61,34,270,8,0
869,Alcremie,Fairy,,65,60,75,110,121,64,495,8,0
870,Falinks,Fighting,,65,100,100,70,60,75,470,8,0
871,Pincurchin,Electric,,48,101,95,91,85,15,435,8,0
872,Snom,Ice,Bug,30,25,35,45,30,20,185,8,0
873,Frosmoth,Ice,Bug,70,65,60,125,90,65,475,8,0
874,Stonjourner,Rock,,100,125,135,20,20,70,470,8,0
875,Eiscue Ice Face,Ice,,75,80,110,65,90,50,470,8,0
875,Eiscue Noice Face,Ice,,75,80,70,65,50,130,470,8,0
876,Indeedee Male,Psychic,Normal,60,65,55,105,95,95,475,8,0
876,Indeedee Female,Psychic,Normal,70,55,65,95,105,85,475,8,0
877,Morpeko Full Belly Mode,Electric,Dark,58,95,58,70,58,97,436,8,0
877,Morpeko Hangry Mode,Electric,Dark,58,95,58,70,58,97,436,8,0
878,Cufant,Steel,,72,80,49,40,49,40,330,8,0
879,Copperajah,Steel,,122,130,69,80,69,30,500,8,0
880,Dracozolt,Electric,Dragon,90,100,90,80,70,75,505,8,0
881,Arctozolt,Electric,Ice,90,100,90,90,80,55,505,8,0
882,Dracovish,Water,Dragon,90,90,100,70,80,75,505,8,0
883,Arctovish,Water,Ice,90,90,100,80,90,55,505,8,0
884,Duraludon,Steel,Dragon,70,95,115,120,50,85,535,8,0
885,Dreepy,Dragon,Ghost,28,60,30,40,30,82,270,8,0
886,Drakloak,Dragon,Ghost,68,80,50,60,50,102,410,8,0
887,Dragapult,Dragon,Ghost,88,120,75,100,75,142,600,8,0
888,Zacian Crowned Sword,Fairy,Steel,92,170,115,80,115,148,720,8,1
888,Zacian Hero Of Many Battles,Fairy,,92,130,115,80,115,138,670,8,1
889,Zamazenta Crowned Shield,Fighting,Steel,92,130,145,80,145,128,720,8,1
889,Zamazenta Hero Of Many Battles,Fighting,,92,130,115,80,115,138,670,8,1
890,Eternatus,Poison,Dragon,140,85,95,145,95,130,690,8,1
890,Eternatus Eternamax,Poison,Dragon,255,115,250,125,250,130,1125,8,1
891,Kubfu,Fighting,,60,90,60,53,50,72,385,8,1
892,Urshifu Single Strike Style,Fighting,Dark,100,130,100,63,60,97,550,8,1
892,Urshifu Rapid Strike Style,Fighting,Water,100,130,100,63,60,97,550,8,1
893,Zarude,Dark,Grass,105,120,105,70,95,105,600,8,1
894,Regieleki,Electric,,80,100,50,100,50,200,580,8,1
895,Regidrago,Dragon,,200,100,50,100,50,80,580,8,1
896,Glastrier,Ice,,100,145,130,65,110,30,580,8,1
897,Spectrier,Ghost,,100,65,60,145,80,130,580,8,1
898,Calyrex,Psychic,Grass,100,80,80,80,80,80,500,8,1
898,Calyrex Ice Rider,Psychic,Ice,100,165,150,85,130,50,680,8,1
898,Calyrex Shadow Rider,Psychic,Ghost,100,85,80,165,100,150,680,8,1
